Countries and territories[a],Cases[b],Deaths,Recov.[c]
China (mainland)[d],80881,3226,68690
Italy,27980,2158,2749
Iran,14991,853,4996
Spain,9942,342,530
South Korea,8320,81,1401
Germany,7272,17,67
France[e],6633,148,12
United States[f],4740,93,74
Switzerland[g],2353,19,4
United Kingdom[h],1543,55,52
Netherlands (kingdom)[i][j],1417,24,0
Norway[k],1347,3,1
Austria,1132,3,8
Sweden[l],1121,7,1
Belgium,1058,10,1
Denmark[m],932,1,1
Japan,814,24,164
Diamond Princess[n],712,7,458
Malaysia,553,0,42
Canada,441,4,11
Qatar,439,0,4
Australia,401,5,27
Greece,352,4,8
Czech Republic,344,0,3
Portugal,331,1,3
Israel,298,0,4
Finland,278,0,10
Slovenia,253,1,0
Singapore,243,0,109
Brazil,234,0,2
Bahrain,229,1,81
Ireland,223,2,5
Estonia,205,0,1
Iceland,199,0,0
Pakistan,184,1,2
Romania,184,0,16
Poland,177,4,0
Egypt[o],166,4,32
Hong Kong,157,4,88
Chile,156,0,0
Thailand,147,1,38
Philippines,142,12,3
Indonesia,134,5,8
Iraq,133,10,32
Saudi Arabia,133,0,6
India,129,3,13
Kuwait,123,0,9
San Marino,115,9,4
Lebanon,109,3,1
United Arab Emirates,98,0,26
Russia[p],93,0,4
Peru,86,0,1
Luxembourg,81,1,0
Taiwan,77,1,22
Slovakia,72,0,0
Panama,69,1,0
Argentina,68,2,3
Bulgaria,62,2,0
South Africa,62,0,0
Vietnam,61,0,16
Algeria,60,4,10
Ecuador,58,2,0
Croatia,57,0,4
Serbia,57,0,1
Brunei,54,0,0
Colombia,54,0,1
Mexico,53,0,4
Armenia,52,0,1
Albania,51,1,0
Turkey,47,0,0
Cyprus[q],46,0,0
Costa Rica,41,0,0
Hungary,39,1,1
Palestine,39,0,0
Morocco,38,1,1
Belarus,36,0,3
Latvia,34,0,1
Georgia,33,0,1
Venezuela,33,0,0
Malta,30,0,2
Jordan,29,0,1
Moldova,29,0,1
Uruguay,29,0,0
Sri Lanka,28,0,1
Kazakhstan,27,0,0
Senegal,27,0,2
Azerbaijan,25,1,6
Bosnia and Herzegovina,25,0,2
Cambodia,24,0,1
North Macedonia,24,0,1
Oman,24,0,9
Afghanistan,21,0,1
Dominican Republic,21,0,0
Tunisia,20,0,0
Lithuania,18,0,1
Burkina Faso,15,0,0
Jamaica,15,0,2
Andorra,14,0,0
Maldives,13,0,0
Kosovo,13,0,0
New Zealand,12,0,0
Macau,12,0,10
Bolivia,11,0,0
Monaco,9,0,0
Bangladesh,8,0,3
Guatemala,8,1,0
Paraguay,8,0,0
Uzbekistan,8,0,0
Syria,7,3,0
Guyana,7,1,0
Liechtenstein,7,0,0
Rwanda,7,0,0
Ghana,6,0,0
Honduras,6,0,0
Northern Cyprus,6,0,0
Ukraine,5,1,0
Ethiopia,5,0,0
Cameroon,4,0,0
Cuba,4,0,0
Ivory Coast,4,0,0
Mongolia,4,0,0
Trinidad and Tobago,4,0,0
Kenya,3,0,0
Seychelles,3,0,0
DR Congo,2,0,0
Namibia,2,0,0
Saint Lucia,2,0,0
Nigeria,2,0,1
Sudan,1,1,0
Antigua and Barbuda,1,0,0
Benin,1,0,0
Bhutan,1,0,0
Bahamas,1,0,0
Central African Republic,1,0,0
Republic of the Congo,1,0,0
Equatorial Guinea,1,0,0
Eswatini,1,0,0
Gabon,1,0,0
Guinea,1,0,0
Liberia,1,0,0
Mauritania,1,0,0
St. Vincent and the Grenadines,1,0,0
Somalia,1,0,0
Suriname,1,0,0
Tanzania,1,0,0
Togo,1,0,0
Vatican City,1,0,0
Nepal,1,0,1
